Nuclide,C m2 / kg MBq s,f-factor (cGy/R),HVL,QVL,TVL,CVL,MVL,R/s at 1m
Pm-150,1.49E-12,0.965,10.5,23.4,40.1,82.9,127,5.775E-09
Pm-151,3.68E-13,0.955,2.3,6.18,13.7,36.4,60,1.426E-09
Sm-140,6.43E-13,0.948,5.59,14,28.2,68.9,110,2.492E-09
Sm-141,1.52E-12,0.959,6.16,13.5,27.7,72.5,118,5.891E-09
Sm-142,1.69E-13,0.932,1.08,5.66,12.2,31.9,65.7,6.550E-10
Sm-145,1.62E-13,0.926,0.0475,0.0933,0.158,0.385,0.78,6.279E-10
Sm-155,1.05E-13,0.953,0.232,0.5,1.13,16.4,53.5,4.070E-10
Sm-156,1.30E-13,0.953,0.477,1.11,2.07,5.23,9.21,5.039E-10
Eu-145,1.33E-12,0.95,11.4,23.3,39.4,83.9,130,5.155E-09
Eu-146,2.54E-12,0.957,9.31,18.8,32.6,74.3,120,9.845E-09
Eu-147,5.50E-13,0.944,4.85,14.1,26.5,58.6,92,2.132E-09
Eu-149,1.21E-13,0.93,0.0844,0.546,3.08,12.7,26.2,4.690E-10
Eu-150,1.73E-12,0.957,4.68,10.6,20.7,53.9,91.7,6.705E-09
Eu-152,1.25E-12,0.952,9.52,21.5,36.7,75.1,114,4.845E-09
Eu-154,1.30E-12,0.959,11.2,22.5,37.1,74.3,112,5.039E-09
Eu-155,6.80E-14,0.947,0.162,0.396,0.764,1.75,2.87,2.636E-10
Eu-157,3.49E-13,0.944,2.53,6.34,12.1,30.3,52.5,1.353E-09
Eu-158,1.33E-12,0.959,12.4,23.9,38.9,78.5,121,5.155E-09
Eu-159,3.69E-13,0.94,3.77,12.5,24.5,57.9,95,1.430E-09
Gd-146,3.36E-13,0.941,0.128,0.328,0.692,1.79,6.12,1.302E-09
Gd-149,6.16E-13,0.948,2.23,6.84,16,41.3,67.1,2.388E-09
Gd-151,1.24E-13,0.932,0.0839,0.257,1.09,4.54,9.27,4.806E-10
Tb-150,2.35E-12,0.957,11.2,24.3,43.8,95.8,147,9.109E-09
Tb-155,2.26E-13,0.942,0.178,0.623,1.73,8.31,19,8.760E-10
Tb-156,2.04E-12,0.954,8.96,20.7,36.8,77.5,118,7.907E-09
Tb-160,1.18E-12,0.96,10.5,21.6,35.5,69.8,104,4.574E-09
Tb-161,1.11E-13,0.93,0.0283,0.0707,0.187,0.857,8.15,4.302E-10
Tb-163,8.72E-13,0.963,3.48,7.21,12.6,28,46,3.380E-09
Dy-151,1.45E-12,0.953,8.84,20,35.7,77.4,120,5.620E-09
Dy-152,3.32E-13,0.949,0.792,1.83,3.16,6.46,9.73,1.287E-09
Dy-153,9.68E-13,0.945,5.36,15.6,31.3,72.4,114,3.752E-09
Dy-166,6.09E-14,0.936,0.105,0.255,0.823,8.9,18.3,2.360E-10
Ho-154,2.02E-12,0.962,5.78,12.9,25.2,64.8,108,7.829E-09
Ho-157,6.69E-13,0.946,2.6,8.13,19.3,53.1,89.8,2.593E-09
Ho-158,6.69E-13,0.946,2.6,8.13,19.3,53.1,89.8,2.593E-09
Ho-160,1.84E-12,0.954,8.79,17.7,29.3,58.5,88.3,7.132E-09
Ho-162,2.00E-13,0.936,3.18,12.3,28.1,69.7,110,7.752E-10
Ho-164,4.88E-14,0.931,0.0764,0.151,0.257,0.631,1.25,1.891E-10
Ho-167,4.02E-13,0.959,1.99,4.13,7.03,15.1,26.2,1.558E-09
Er-156,1.25E-13,0.93,0.0653,0.156,0.452,6.69,14.7,4.845E-10
Er-158,1.25E-13,0.93,0.0653,0.156,0.452,6.69,14.7,4.845E-10
Er-159,1.03E-12,0.952,7.57,16.8,31,74.1,120,3.992E-09
Er-160,1.03E-12,0.952,7.57,16.8,31,74.1,120,3.992E-09
Er-163,6.52E-14,0.931,0.0795,0.157,0.266,3.78,38.2,2.527E-10
Er-165,6.19E-14,0.931,0.0776,0.151,0.25,0.508,0.788,2.399E-10
Er-171,4.03E-13,0.956,1.42,3.28,5.99,21.6,48,1.562E-09
Er-172,5.80E-13,0.952,4.14,8.95,15.5,32.9,50.3,2.248E-09
Tm-163,1.36E-12,0.948,10.5,24.1,41.6,84.5,127,5.271E-09
Tm-165,6.29E-13,0.948,2.81,8.65,19.8,52.4,87.9,2.438E-09
Tm-166,1.96E-12,0.954,12.5,25.9,44,91.2,139,7.597E-09
Tm-167,1.75E-13,0.942,0.32,1.04,2.23,12.1,26.8,6.783E-10
Tm-168,1.35E-12,0.955,6.38,14.5,24.9,51.2,78.5,5.233E-09
Tm-172,4.64E-13,0.958,15.6,29.8,47.7,90.9,133,1.798E-09
Tm-173,4.31E-13,0.962,3.13,6.1,9.9,19.4,28.8,1.671E-09
Tm-175,1.17E-12,0.962,7.47,15.8,27.9,61.6,97.6,4.535E-09
Yb-162,2.74E-13,0.948,0.65,3.54,11.4,31.2,51.6,1.062E-09
Yb-163,7.72E-13,0.951,7.34,16.6,31.3,73.9,118,2.992E-09
Yb-164,7.25E-14,0.934,0.13,0.328,3.85,23.6,47.3,2.810E-10
Yb-166,1.15E-13,0.935,0.102,0.206,0.362,1.01,1.97,4.457E-10
